--Day of max temperature by year

+----+-----+---+---------+--------+
|year|month|day|daily_max|_rankCal|
|1982|    1| 10|    -19.4|       1|
|1983|   12| 20|    -19.4|       1|
|1984|    1| 16|    -19.4|       1|
|1985|    1| 21|    -19.4|       1|
|1986|    1| 15|    -18.3|       1|
|1987|    1| 27|    -18.9|       1|
|1988|   12| 12|    -19.4|       1|
|1989|   12| 23|    -18.3|       1|
|1990|    2| 26|    -16.7|       1|
|1991|    2| 16|    -16.1|       1|
|1992|    2| 12|    -19.4|       1|
|1993|    2|  7|    -19.4|       1|
|1994|    1| 16|    -19.4|       1|
|1995|    2|  6|    -18.3|       1|
|1996|    1|  4|    -19.4|       1|
|1997|    1| 19|    -19.4|       1|
|1998|   12| 30|    -13.3|       1|
|1999|    3|  8|    -19.4|       1|
|2000|    1| 17|    -17.8|       1|
|2001|    1|  2|    -14.4|       1|
|2002|   12|  3|    -15.0|       1|
|2003|    1| 27|    -19.4|       1|
|2004|    1| 10|    -19.4|       1|
|2005|    1| 22|    -19.4|       1|
|2006|    2| 19|    -13.9|       1|
|2007|    2| 15|    -18.3|       1|
|2008|    2| 11|    -16.7|       1|
|2009|    1| 21|    -19.4|       1|
|2010|    1| 31|    -18.9|       1|
|2011|    1| 24|    -19.4|       1|
|2012|    1|  4|    -16.1|       1|
|2013|    1| 25|    -16.7|       1|
|2014|    2| 12|    -19.4|       1|
|2015|    2| 15|    -19.7|       1|
|2016|    2| 13|    -19.4|       1|
|2017|   12| 28|    -17.2|       1|
|2018|    1|  6|    -19.4|       1|
+----+-----+---+---------+--------+


----Monthly average daily temperature

+----+-----+------+
|year|month|newcol|
+----+-----+------+
|1942|    2|  -6.3|
|1942|    3|   2.1|
|1942|    4|   8.7|
|1942|    5|  14.5|
|1942|    6|  19.1|
|1942|    7|  20.7|
|1942|    8|  20.1|
|1942|    9|  16.1|
|1942|   10|  11.3|
|1942|   11|   4.6|
|1942|   12|  -3.2|
|1943|    1|  -5.5|
|1943|    2|  -3.0|
|1943|    3|  -0.6|
|1943|    4|   3.2|
|1943|    5|  12.5|
|1943|    6|  20.5|
|1943|    7|  21.7|
|1943|    8|  20.4|
|1943|    9|  15.6|
|1943|   10|   9.0|
|1943|   11|   3.3|
|1943|   12|  -2.7|
|1944|    1|  -1.3|
|1946|    1|  -3.0|
|1946|    2|  -4.5|
|1946|    3|   6.3|
|1946|    4|   6.3|
|1946|    5|  12.7|
|1946|    6|  17.4|
|1946|    7|  21.0|
|1946|    8|  18.4|
|1946|    9|  17.5|
|1946|   10|  13.0|
|1946|   11|   6.4|
|1946|   12|  -0.7|
|1947|    1|  -1.6|
|1947|    2|  -6.1|
|1947|    3|  -1.5|
|1947|    4|   6.2|
|1947|    5|  11.5|
|1947|    6|  18.4|
|1947|    7|  20.3|
|1947|    8|  23.2|
|1947|    9|  17.6|
|1947|   10|  15.0|
|1947|   11|   2.8|
|1947|   12|  -2.4|
|1948|    1|  -7.6|
|1948|    2|  -4.4|
|1948|    3|   1.2|
|1948|    4|   8.8|
|1948|    5|  11.5|
|1948|    6|  18.2|
|1948|    7|  22.0|
|1948|    8|  20.7|
|1948|    9|  17.8|
|1948|   10|   9.0|
|1948|   11|   7.7|
|1948|   12|  -0.2|
|1949|    1|  -0.6|
|1949|    2|  -0.6|
|1949|    3|   0.6|
|1949|    4|   6.7|
|1949|    5|  13.8|
|1949|    6|  21.9|
|1949|    7|  23.1|
|1949|    8|  21.4|
|1949|    9|  14.6|
|1949|   10|  13.6|
|1949|   11|   3.1|
|1949|   12|   0.6|
|1950|    1|   0.9|
|1950|    2|  -4.2|
|1950|    3|  -2.3|
|1950|    4|   4.4|
|1950|    5|  13.4|
|1950|    6|  18.0|
|1950|    7|  20.1|
|1950|    8|  19.7|
|1950|    9|  15.4|
|1950|   10|  12.2|
|1950|   11|   4.2|
|1950|   12|  -2.8|
|1951|    1|  -2.1|
|1951|    2|  -2.6|
|1951|    3|   1.6|
|1951|    4|   6.6|
|1951|    5|  13.5|
|1951|    6|  18.3|
|1951|    7|  20.7|
|1951|    8|  19.6|
|1951|    9|  15.8|
|1951|   10|  12.0|
|1951|   11|   1.2|
|1951|   12|  -1.1|
|1952|    1|  -1.9|
|1952|    2|  -2.1|
|1952|    3|   0.3|
|1952|    4|   8.5|
|1952|    5|  11.7|
|1952|    6|  19.3|
|1952|    7|  23.0|
|1952|    8|  20.4|
|1952|    9|  17.0|
|1952|   10|   7.9|
|1952|   11|   5.8|
|1952|   12|   0.6|
|1953|    1|  -0.9|
|1953|    2|  -1.2|
|1953|    3|   1.9|
|1953|    4|   5.9|
|1953|    5|  12.9|
|1953|    6|  19.3|
|1953|    7|  21.3|
|1953|    8|  20.4|
|1953|    9|  17.0|
|1953|   10|  11.7|
|1953|   11|   6.4|
|1953|   12|   1.2|
|1954|    1|  -4.8|
|1954|    2|   0.1|
|1954|    3|  -0.1|
|1954|    4|   8.2|
|1954|    5|  12.3|
|1954|    6|  19.6|
|1954|    7|  20.3|
|1954|    8|  19.0|
|1954|    9|  16.7|
|1954|   10|  12.1|
|1954|   11|   5.0|
|1954|   12|  -1.8|
|1955|    1|  -4.6|
|1955|    2|  -2.4|
|1955|    3|   0.6|
|1955|    4|   9.6|
|1955|    5|  14.9|
|1955|    6|  19.0|
|1955|    7|  24.0|
|1955|    8|  22.8|
|1955|    9|  16.4|
|1955|   10|  12.1|
|1955|   11|   3.3|
|1955|   12|  -3.8|
|1956|    1|  -4.4|
|1956|    2|  -2.1|
|1956|    3|  -1.4|
|1956|    4|   5.6|
|1956|    5|  11.4|
|1956|    6|  18.4|
|1956|    7|  20.1|
|1956|    8|  19.8|
|1956|    9|  14.8|
|1956|   10|  12.4|
|1956|   11|   5.2|
|1956|   12|   1.0|
|1957|    1|  -6.2|
|1957|    2|  -1.0|
|1957|    3|   1.5|
|1957|    4|   8.5|
|1957|    5|  12.7|
|1957|    6|  19.8|
|1957|    7|  20.3|
|1957|    8|  18.6|
|1957|    9|  16.1|
|1957|   10|   9.6|
|1957|   11|   4.6|
|1957|   12|   1.1|
|1958|    1|  -4.1|
|1958|    2|  -6.9|
|1958|    3|   0.6|
|1958|    4|   7.8|
|1958|    5|  11.6|
|1958|    6|  16.0|
|1958|    7|  21.0|
|1958|    8|  19.7|
|1958|    9|  15.9|
|1958|   10|  10.6|
|1958|   11|   5.3|
|1958|   12|  -5.8|
|1959|    1|  -5.8|
|1959|    2|  -5.3|
|1959|    3|  -1.0|
|1959|    4|   6.5|
|1959|    5|  14.4|
|1959|    6|  18.6|
|1959|    7|  21.7|
|1959|    8|  22.8|
|1959|    9|  18.7|
|1959|   10|  11.1|
|1959|   11|   3.1|
|1959|   12|  -0.2|
|1960|    1|  -3.2|
|1960|    2|  -3.2|
|1960|    3|  -5.2|
|1960|    4|   8.0|
|1960|    5|  13.4|
|1960|    6|  17.7|
|1960|    7|  19.8|
|1960|    8|  19.8|
|1960|    9|  17.3|
|1960|   10|   9.8|
|1960|   11|   5.5|
|1960|   12|  -5.8|
|1961|    1|  -7.7|
|1961|    2|  -3.7|
|1961|    3|   0.4|
|1961|    4|   3.5|
|1961|    5|  11.2|
|1961|    6|  16.8|
|1961|    7|  20.2|
|1961|    8|  20.1|
|1961|    9|  19.7|
|1961|   10|  12.0|
|1961|   11|   4.5|
|1961|   12|  -1.5|
|1962|    1|  -5.5|
|1962|    2|  -5.9|
|1962|    3|  -0.5|
|1962|    4|   6.5|
|1962|    5|  15.5|
|1962|    6|  17.9|
|1962|    7|  19.5|
|1962|    8|  19.3|
|1962|    9|  14.3|
|1962|   10|  10.4|
|1962|   11|   2.3|
|1962|   12|  -4.1|
|1963|    1|  -7.8|
|1963|    2|  -7.4|
|1963|    3|   1.2|
|1963|    4|   6.6|
|1963|    5|  10.8|
|1963|    6|  18.8|
|1963|    7|  20.8|
|1963|    8|  17.5|
|1963|    9|  13.3|
|1963|   10|  13.1|
|1963|   11|   6.4|
|1963|   12|  -5.0|
|1964|    1|  -1.7|
|1964|    2|  -5.3|
|1964|    3|   0.6|
|1964|    4|   7.5|
|1964|    5|  14.5|
|1964|    6|  17.9|
|1964|    7|  22.0|
|1964|    8|  17.9|
|1964|    9|  15.2|
|1964|   10|   8.4|
|1964|   11|   5.3|
|1964|   12|  -1.4|
|1965|    1|  -4.9|
|1965|    2|  -3.7|
|1965|    3|  -1.6|
|1965|    4|   4.2|
|1965|    5|  14.6|
|1965|    6|  17.3|
|1965|    7|  19.1|
|1965|    8|  19.2|
|1965|    9|  17.2|
|1965|   10|   8.6|
|1965|   11|   3.7|
|1965|   12|   1.1|
|1966|    1|  -6.5|
|1966|    2|  -4.4|
|1966|    3|   0.6|
|1966|    4|   5.6|
|1966|    5|  10.4|
|1966|    6|  18.9|
|1966|    7|  21.2|
|1966|    8|  20.0|
|1966|    9|  14.7|
|1966|   10|   9.2|
|1966|   11|   5.2|
|1966|   12|  -1.8|
|1967|    1|  -1.4|
|1967|    2|  -6.3|
|1967|    3|  -0.8|
|1967|    4|   7.2|
|1967|    5|  10.0|
|1967|    6|  22.0|
|1967|    7|  21.2|
|1967|    8|  19.6|
|1967|    9|  15.7|
|1967|   10|  10.8|
|1967|   11|   2.4|
|1967|   12|   0.0|
|1968|    1|  -6.7|
|1968|    2|  -6.9|
|1968|    3|   1.8|
|1968|    4|   9.2|
|1968|    5|  11.6|
|1968|    6|  17.8|
|1968|    7|  21.4|
|1968|    8|  20.3|
|1968|    9|  18.4|
|1968|   10|  11.5|
|1968|   11|   4.3|
|1968|   12|  -3.2|
|1969|    1|  -3.9|
|1969|    2|  -4.4|
|1969|    3|  -1.3|
|1969|    4|   7.5|
|1969|    5|  12.0|
|1969|    6|  17.9|
|1969|    7|  21.1|
|1969|    8|  21.6|
|1969|    9|  16.6|
|1969|   10|  10.1|
|1969|   11|   4.0|
|1969|   12|  -4.0|
|1970|    1|  -8.4|
|1970|    2|  -4.5|
|1970|    3|  -1.7|
|1970|    4|   7.6|
|1970|    5|  13.7|
|1970|    6|  18.3|
|1970|    7|  20.8|
|1970|    8|  20.7|
|1970|    9|  17.3|
|1970|   10|  12.0|
|1970|   11|   5.2|
|1970|   12|  -3.1|
|1971|    1|  -6.5|
|1971|    2|  -3.4|
|1971|    3|  -1.8|
|1971|    4|   4.6|
|1971|    5|  12.0|
|1971|    6|  19.0|
|1971|    7|  19.8|
|1971|    8|  19.1|
|1971|    9|  18.0|
|1971|   10|  14.0|
|1971|   11|   4.0|
|1971|   12|   0.2|
|1973|    1|  -3.0|
|1973|    2|  -5.2|
|1973|    3|   4.9|
|1973|    4|   7.6|
|1973|    5|  11.5|
|1973|    6|  19.5|
|1973|    7|  21.5|
|1973|    8|  21.2|
|1973|    9|  15.9|
|1973|   10|  11.5|
|1973|   11|   4.9|
|1973|   12|  -1.8|
|1974|    1|  -2.7|
|1974|    2|  -5.6|
|1974|    3|   0.1|
|1974|    4|   7.5|
|1974|    5|  11.3|
|1974|    6|  17.8|
|1974|    7|  20.6|
|1974|    8|  20.3|
|1974|    9|  14.8|
|1974|   10|   8.8|
|1974|   11|   4.4|
|1974|   12|  -0.3|
|1975|    1|  -1.5|
|1975|    2|  -2.3|
|1975|    3|  -1.1|
|1975|    4|   3.1|
|1975|    5|  15.9|
|1975|    6|  19.1|
|1975|    7|  21.6|
|1975|    8|  20.3|
|1975|    9|  14.0|
|1975|   10|  11.4|
|1975|   11|   8.0|
|1975|   12|  -2.1|
|1976|    1|  -7.1|
|1976|    2|  -0.4|
|1976|    3|   2.4|
|1976|    4|   7.2|
|1976|    5|  11.3|
|1976|    6|  19.7|
|1976|    7|  19.1|
|1976|    8|  18.8|
|1976|    9|  15.1|
|1976|   10|   7.5|
|1976|   11|   0.9|
|1976|   12|  -5.5|
|1977|    1| -10.6|
|1977|    2|  -4.0|
|1977|    3|   3.3|
|1977|    4|   7.3|
|1977|    5|  15.0|
|1977|    6|  17.3|
|1977|    7|  21.5|
|1977|    8|  19.5|
|1977|    9|  16.6|
|1977|   10|   9.1|
|1977|   11|   6.1|
|1977|   12|  -2.2|
|1978|    1|  -6.7|
|1978|    2|  -9.7|
|1978|    3|  -2.8|
|1978|    4|   5.0|
|1978|    5|  13.3|
|1978|    6|  17.8|
|1978|    7|  20.6|
|1978|    8|  20.5|
|1978|    9|  15.6|
|1978|   10|   9.2|
|1978|   11|   4.2|
|1978|   12|  -1.4|
|1979|    1|  -6.4|
|1979|    2|  -9.9|
|1979|    3|   2.4|
|1979|    4|   5.8|
|1979|    5|  13.1|
|1979|    6|  18.5|
|1979|    7|  20.9|
|1979|    8|  19.0|
|1979|    9|  15.9|
|1979|   10|   9.9|
|1979|   11|   5.8|
|1979|   12|   0.5|
|1980|    1|  -3.8|
|1980|    2|  -6.4|
|1980|    3|  -0.7|
|1980|    4|   6.9|
|1980|    5|  13.6|
|1980|    6|  15.9|
|1980|    7|  21.2|
|1980|    8|  21.9|
|1980|    9|  16.4|
|1980|   10|   8.8|
|1980|   11|   3.5|
|1980|   12|  -3.7|
|1981|    1|  -7.2|
|1981|    2|   0.3|
|1981|    3|   0.4|
|1981|    4|   8.5|
|1981|    5|  12.7|
|1981|    6|  18.5|
|1981|    7|  21.5|
|1981|    8|  20.6|
|1981|    9|  15.7|
|1981|   10|   8.3|
|1981|   11|   3.9|
|1981|   12|  -1.9|
|1982|    1|  -8.0|
|1982|    2|  -5.3|
|1982|    3|  -0.5|
|1982|    4|   4.7|
|1982|    5|  15.3|
|1982|    6|  16.3|
|1982|    7|  21.4|
|1982|    8|  18.0|
|1982|    9|  15.5|
|1982|   10|  10.6|
|1982|   11|   5.9|
|1982|   12|   2.7|
|1983|    1|  -3.4|
|1983|    2|  -2.3|
|1983|    3|   1.8|
|1983|    4|   5.5|
|1983|    5|  11.9|
|1983|    6|  19.3|
|1983|    7|  23.0|
|1983|    8|  21.4|
|1983|    9|  17.0|
|1983|   10|  10.7|
|1983|   11|   4.5|
|1983|   12|  -5.6|
|1984|    1|  -6.5|
|1984|    2|   0.5|
|1984|    3|  -3.2|
|1984|    4|   8.2|
|1984|    5|  11.0|
|1984|    6|  19.4|
|1984|    7|  20.9|
|1984|    8|  20.6|
|1984|    9|  14.1|
|1984|   10|  11.1|
|1984|   11|   3.6|
|1984|   12|   1.7|
|1985|    1|  -6.6|
|1985|    2|  -4.4|
|1985|    3|   1.2|
|1985|    4|   8.5|
|1985|    5|  14.8|
|1985|    6|  16.3|
|1985|    7|  20.3|
|1985|    8|  19.9|
|1985|    9|  17.2|
|1985|   10|  11.0|
|1985|   11|   5.1|
|1985|   12|  -4.0|
|1986|    1|  -3.8|
|1986|    2|  -4.8|
|1986|    3|   1.9|
|1986|    4|   8.0|
|1986|    5|  14.7|
|1986|    6|  17.5|
|1986|    7|  20.9|
|1986|    8|  19.0|
|1986|    9|  16.0|
|1986|   10|  10.0|
|1986|   11|   2.9|
|1986|   12|   0.0|
|1987|    1|  -3.6|
|1987|    2|  -4.7|
|1987|    3|   2.3|
|1987|    4|   9.1|
|1987|    5|  14.7|
|1987|    6|  19.9|
|1987|    7|  22.5|
|1987|    8|  19.7|
|1987|    9|  16.6|
|1987|   10|   8.1|
|1987|   11|   5.4|
|1987|   12|   1.2|
|1988|    1|  -3.3|
|1988|    2|  -4.6|
|1988|    3|   0.9|
|1988|    4|   6.7|
|1988|    5|  14.6|
|1988|    6|  17.4|
|1988|    7|  22.7|
|1988|    8|  21.8|
|1988|    9|  16.1|
|1988|   10|   7.9|
|1988|   11|   6.0|
|1988|   12|  -1.6|
|1989|    1|  -0.8|
|1989|    2|  -5.2|
|1989|    3|  -0.5|
|1989|    4|   4.7|
|1989|    5|  13.4|
|1989|    6|  19.4|
|1989|    7|  22.5|
|1989|    8|  20.6|
|1989|    9|  17.7|
|1989|   10|  12.4|
|1989|   11|   3.8|
|1989|   12|  -8.3|
|1990|    1|   0.4|
|1990|    2|  -1.8|
|1990|    3|   2.0|
|1990|    4|   8.3|
|1990|    5|  12.0|
|1990|    6|  18.7|
|1990|    7|  21.3|
|1990|    8|  20.3|
|1990|    9|  15.9|
|1990|   10|  10.6|
|1990|   11|   6.1|
|1990|   12|   1.0|
|1991|    1|  -3.9|
|1991|    2|  -0.8|
|1991|    3|   2.0|
|1991|    4|   9.4|
|1991|    5|  17.4|
|1991|    6|  20.0|
|1991|    7|  21.5|
|1991|    8|  20.8|
|1991|    9|  15.8|
|1991|   10|  11.4|
|1991|   11|   3.6|
|1991|   12|  -0.7|
|1992|    1|  -2.7|
|1992|    2|  -2.9|
|1992|    3|  -0.8|
|1992|    4|   5.6|
|1992|    5|  13.4|
|1992|    6|  16.9|
|1992|    7|  18.6|
|1992|    8|  18.3|
|1992|    9|  16.0|
|1992|   10|   8.4|
|1992|   11|   4.3|
|1992|   12|  -0.3|
|1993|    1|  -1.6|
|1993|    2|  -7.2|
|1993|    3|  -1.5|
|1993|    4|   7.7|
|1993|    5|  13.5|
|1993|    6|  18.3|
|1993|    7|  22.2|
|1993|    8|  21.4|
|1993|    9|  14.9|
|1993|   10|   9.4|
|1993|   11|   4.1|
|1993|   12|  -2.0|
|1994|    1|  -8.5|
|1994|    2|  -5.8|
|1994|    3|   0.2|
|1994|    4|   8.3|
|1994|    5|  12.0|
|1994|    6|  20.0|
|1994|    7|  22.3|
|1994|    8|  19.3|
|1994|    9|  15.9|
|1994|   10|  10.5|
|1994|   11|   7.1|
|1994|   12|   0.7|
|1995|    1|  -1.6|
|1995|    2|  -5.9|
|1995|    3|   2.2|
|1995|    4|   4.7|
|1995|    5|  13.2|
|1995|    6|  20.0|
|1995|    7|  22.0|
|1995|    8|  22.0|
|1995|    9|  15.0|
|1995|   10|  11.9|
|1995|   11|   2.0|
|1995|   12|  -4.1|
|1996|    1|  -5.5|
|1996|    2|  -5.1|
|1996|    3|  -2.2|
|1996|    4|   4.8|
|1996|    5|  12.0|
|1996|    6|  19.1|
|1996|    7|  19.7|
|1996|    8|  20.5|
|1996|    9|  16.4|
|1996|   10|  10.5|
|1996|   11|   1.3|
|1996|   12|   0.5|
|1997|    1|  -5.0|
|1997|    2|  -1.5|
|1997|    3|   0.1|
|1997|    4|   5.2|
|1997|    5|   9.7|
|1997|    6|  18.8|
|1997|    7|  19.8|
|1997|    8|  18.8|
|1997|    9|  15.4|
|1997|   10|   9.7|
|1997|   11|   2.9|
|1997|   12|  -0.2|
|1998|    1|  -0.8|
|1998|    2|   0.0|
|1998|    3|   2.1|
|1998|    4|   7.5|
|1998|    5|  16.3|
|1998|    6|  17.9|
|1998|    7|  20.4|
|1998|    8|  21.0|
|1998|    9|  17.2|
|1998|   10|  10.8|
|1998|   11|   5.3|
|1998|   12|   1.4|
|1999|    1|  -4.9|
|1999|    2|  -1.2|
|1999|    3|  -1.2|
|1999|    4|   6.9|
|1999|    5|  15.0|
|1999|    6|  19.7|
|1999|    7|  22.7|
|1999|    8|  19.1|
|1999|    9|  17.3|
|1999|   10|   9.9|
|1999|   11|   6.4|
|1999|   12|  -0.3|
|2000|    1|  -4.9|
|2000|    2|  -1.1|
|2000|    3|   3.8|
|2000|    4|   6.3|
|2000|    5|  13.7|
|2000|    6|  18.0|
|2000|    7|  19.1|
|2000|    8|  19.3|
|2000|    9|  15.6|
|2000|   10|  10.7|
|2000|   11|   3.3|
|2000|   12|  -6.0|
|2001|    1|  -3.1|
|2001|    2|  -2.3|
|2001|    3|  -1.0|
|2001|    4|   7.7|
|2001|    5|  14.5|
|2001|    6|  18.9|
|2001|    7|  20.4|
|2001|    8|  22.2|
|2001|    9|  16.3|
|2001|   10|  11.3|
|2001|   11|   7.9|
|2001|   12|   1.9|
|2002|    1|  -0.2|
|2002|    2|  -0.7|
|2002|    3|   0.5|
|2002|    4|   7.4|
|2002|    5|  10.6|
|2002|    6|  19.1|
|2002|    7|  22.4|
|2002|    8|  21.3|
|2002|    9|  18.5|
|2002|   10|   9.3|
|2002|   11|   3.9|
|2002|   12|  -2.0|
|2003|    1|  -7.2|
|2003|    2|  -6.6|
|2003|    3|   0.3|
|2003|    4|   5.5|
|2003|    5|  12.4|
|2003|    6|  16.9|
|2003|    7|  20.5|
|2003|    8|  20.9|
|2003|    9|  16.5|
|2003|   10|   9.0|
|2003|   11|   6.1|
|2003|   12|   0.0|
|2004|    1|  -8.1|
|2004|    2|  -4.0|
|2004|    3|   2.2|
|2004|    4|   7.0|
|2004|    5|  14.2|
|2004|    6|  17.1|
|2004|    7|  20.0|
|2004|    8|  19.2|
|2004|    9|  17.6|
|2004|   10|  10.8|
|2004|   11|   5.5|
|2004|   12|  -1.5|
|2005|    1|  -5.0|
|2005|    2|  -4.1|
|2005|    3|  -1.9|
|2005|    4|   7.6|
|2005|    5|  11.3|
|2005|    6|  21.5|
|2005|    7|  23.3|
|2005|    8|  21.8|
|2005|    9|  18.2|
|2005|   10|  10.9|
|2005|   11|   6.0|
|2005|   12|  -3.1|
|2006|    1|   1.4|
|2006|    2|  -2.9|
|2006|    3|   0.9|
|2006|    4|   8.2|
|2006|    5|  14.9|
|2006|    6|  19.5|
|2006|    7|  22.6|
|2006|    8|  20.4|
|2006|    9|  15.6|
|2006|   10|   9.1|
|2006|   11|   6.8|
|2006|   12|   2.7|
|2007|    1|  -1.8|
|2007|    2|  -7.7|
|2007|    3|   1.0|
|2007|    4|   5.4|
|2007|    5|  14.5|
|2007|    6|  20.4|
|2007|    7|  20.4|
|2007|    8|  21.7|
|2007|    9|  18.2|
|2007|   10|  14.5|
|2007|   11|   3.7|
|2007|   12|  -1.5|
|2008|    1|  -1.7|
|2008|    2|  -4.3|
|2008|    3|  -0.7|
|2008|    4|   9.9|
|2008|    5|  11.4|
|2008|    6|  19.3|
|2008|    7|  21.4|
|2008|    8|  19.4|
|2008|    9|  17.2|
|2008|   10|   9.3|
|2008|   11|   4.2|
|2008|   12|  -1.6|
|2009|    1|  -7.6|
|2009|    2|  -2.8|
|2009|    3|   1.2|
|2009|    4|   7.8|
|2009|    5|  13.7|
|2009|    6|  17.4|
|2009|    7|  18.9|
|2009|    8|  20.7|
|2009|    9|  16.1|
|2009|   10|   8.9|
|2009|   11|   6.3|
|2009|   12|  -2.1|
|2010|    1|  -5.3|
|2010|    2|  -4.5|
|2010|    3|   2.5|
|2010|    4|  10.0|
|2010|    5|  15.1|
|2010|    6|  18.9|
|2010|    7|  22.6|
|2010|    8|  21.5|
|2010|    9|  16.4|
|2010|   10|  10.4|
|2010|   11|   4.6|
|2010|   12|  -3.9|
|2011|    1|  -6.1|
|2011|    2|  -4.3|
|2011|    3|  -0.5|
|2011|    4|   6.9|
|2011|    5|  14.2|
|2011|    6|  18.7|
|2011|    7|  23.4|
|2011|    8|  21.2|
|2011|    9|  18.0|
|2011|   10|  10.5|
|2011|   11|   7.9|
|2011|   12|   1.8|
|2012|    1|  -1.3|
|2012|    2|  -0.1|
|2012|    3|   7.5|
|2012|    4|   6.6|
|2012|    5|  17.0|
|2012|    6|  19.5|
|2012|    7|  23.4|
|2012|    8|  21.3|
|2012|    9|  16.8|
|2012|   10|  11.0|
|2012|   11|   3.6|
|2012|   12|   2.0|
|2013|    1|  -1.5|
